Word,Frequency
food,1
paella,1
spain,1
seafood,1
chocolatechipcookie,1
bakery,1
nyc,1
foodinsider,3
coffee,1
coffeebeans,1
agriculture,1
tofu,1
factory,1
howitsmade,1
sodelhi,7
newdelhi,7
foodtalkindia,7
delhigram,7
indianfood,6
delhifoodblogger,6
foodgasm,7
foodporn,6
foodpornshare,6
foodlover,6
foodgram,6
foodiesofinstagram,6
foodie,6
indianstreetfood,6
streetfood,8
delhistreetfood,7
streetfoodindia,7
mumbaistreetfood,6
delhifoodie,6
foodblogger,6
indianfoodie,6
desikhana,7
indianfoodblogger,6
indianfoodbloggers,6
delhifood,6
mumbai,6
delhi,6
ghaziabad,1
ghewar,1
kolkata,1
guava,1
reelitfeelit,3
reelkarofeelkaro,3
reelsinstagram,3
reels,3
paratha,1
viralfood,2
explore,1
agra,1
vadodara,2
peda,1
gurudwara,1
sikh,1
sikhism,1
sikhi,1
khalsa,1
gurugobindsinghji,1
dosa,1
makhana,1
foxnut,1
bihar,1
trending,1
pineapple,1
nashik,1
sandwich,1
surat,1
desifood,1
ruralindia,1
santacruz,1
mumbaifood,1
munbaifoodie,1
somumbai,1
pakora,1
indianrecipes,1
samosa,1
vadapav,1
bangalorefood,1
pavbhaji,1
bhajji,1
foodism,1
mumbaifoodies,1
delhifoodblog,1
mumbaifoodlovers,1
goodfoodindia,1
sokolkata,1
chutney,1
snack,1
dilsefoodie,10
dilsecouple,9
Rajouri,1
Egg,1
Omelette,1
ptal,1
harghartiranga,1
75For75,1
amritmohatsav,1
DilSeDesi,1
dalmakhani,1
PalDhaba,1
tikkajunction,1
